page_id,family,route,auth,scope,reachability,evidence_status,side_effect_risk,source_owner,release,notes
DESKTOP-SPLASH,entry,/,public,IN_SCOPE,RUNTIME_REACHED,REDESIGNED_VERIFIED,LOW,root/index.php,R02,"desktop H5 guide redesigned as 推广宝; mobile redirect preserved"
PUBLIC-LOGIN,auth,/plugin.php?id=xigua_hb,public,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,MEDIUM,xigua_hb,R03,"public root redirects to the mobile login page; login page exposed the register SMS-login service and privacy links under the Android H5 UA"
PUBLIC-REGISTER,auth,/plugin.php?id=tb_cus_mobilereg,public,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,MEDIUM,tb_cus_mobilereg,R03,"mobile login visible 注册账号 control clicked to the real registration page"
PUBLIC-SMS-LOGIN,auth,/plugin.php?id=tb_cus_mobilereg&modac={sms_login},public,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,HIGH,tb_cus_mobilereg,R03,"mobile login visible 验证码登录 control clicked; no SMS was sent"
LEGAL-SERVICE-AGREEMENT,legal,/m/xy.html,public,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,LOW,m-static,R03,"mobile login visible 服务协议 control clicked; legal body remains frozen"
LEGAL-PRIVACY,legal,/m/yszc.html,public,IN_SCOPE,RUNTIME_REACHED,REDESIGNED_VERIFIED,LOW,m-static,R03,"Light Grid reading surface; legacy MKT legal copy frozen"
LEGAL-USER-AGREEMENT,legal,/m/yhxy.html,public,IN_SCOPE,RUNTIME_REACHED,REDESIGNED_VERIFIED,LOW,m-static,R03,"responsive long-form reading; legal body frozen"
LEGAL-CONSUMER-AGREEMENT,legal,/m/xfxy.html,public,IN_SCOPE,RUNTIME_REACHED,REDESIGNED_VERIFIED,LOW,m-static,R03,"responsive long-form reading; legal body frozen"
LEGAL-ANTI-FRAUD,legal,/m/fpsm.html,public,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,LOW,m-static,R03,"isolated content detail exposed and clicked the visible 防骗提醒 control; detail GET writes were fully rolled back"
LEGAL-MEMBER-AGREEMENT,legal,/m/hyxy.html,authenticated,OUT_OF_VISUAL_SCOPE,DIRECT_URL_ONLY,INVALIDATED_SCOPE_DRIFT,LOW,m-static,R03,"no visible link or text exists on the production Android-H5 personal-center or settings DOM; restored to the pre-redesign production file"
LEGAL-HELP,legal,/m/help.html,authenticated,OUT_OF_VISUAL_SCOPE,DIRECT_URL_ONLY,INVALIDATED_SCOPE_DRIFT,LOW,m-static,R03,"no visible link or text exists on the production Android-H5 personal-center or settings DOM; restored to the pre-redesign production file"
LEGAL-ABOUT,legal,/m/gywm.html,authenticated,OUT_OF_VISUAL_SCOPE,DIRECT_URL_ONLY,INVALIDATED_SCOPE_DRIFT,LOW,m-static,R03,"no visible link or text exists on the production Android-H5 personal-center or settings DOM; restored to the pre-redesign production file"
AUTH-HOME,discovery,/plugin.php?id=xigua_hb,authenticated,IN_SCOPE,RUNTIME_REACHED,REDESIGNED_VERIFIED,MEDIUM,xigua_hb,R04,"search headline content cards publish and bottom navigation; R04 CSS once forced children of the zero-height legacy category container visible; R05 v5 restored the original hidden state and the browser gate reports zero visible legacy categories"
DISCOVERY-SEARCH,discovery,/plugin.php?id=xigua_hb&ac=cat&keyword={keyword},authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,MEDIUM,xigua_hb,R04,"production home search submitted with a user gesture; Page.windowOpen proved the child URL and the Android-H5 child rendered 20 results without overflow"
DISCOVERY-CATEGORY,discovery,/plugin.php?id=xigua_hb&ac=cat&cat_id={cat_id},authenticated,OUT_OF_VISUAL_SCOPE,DIRECT_URL_ONLY,HIDDEN_PROTOCOL,MEDIUM,xigua_hb,R04,"home category parent is clipped and unclickable; R05 v5 removed the R04 CSS force-show drift and real-browser hidden-control checks pass; cat template remains indirectly used by real search"
DISCOVERY-ARTICLE-LIST,discovery,/plugin.php?id=xigua_hb&nav=article,authenticated,OUT_OF_VISUAL_SCOPE,SOURCE_ONLY,HIDDEN_PROTOCOL,MEDIUM,xigua_hb,R04,"conditional route currently has no visible parent entry; AJAX fragment is not a page"
CONTENT-DETAIL,content,/plugin.php?id=xigua_hb&ac=view&pubid={pubid},public+authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,HIGH,xigua_hb,R05,"production title parent plus R04-derived isolated click proven; GET views and log changes were restored by order-independent row-set comparison"
CONTENT-MEMBER,content,/plugin.php?id=xigua_hb&ac=member&uid={uid},public+authenticated,IN_SCOPE,CLICK_PROVEN,IMPLEMENTED_PENDING_BROWSER_VERIFY,HIGH,xigua_hb,R09,"synthetic isolated chat message avatar was visible at 40x40 and actually clicked to the member page; fixture visit-log residue was removed; R09 visual overlay passes static protocol gates but remains unaccepted until Android-H5 browser screenshots pass"
CONTENT-REDPACK-LIST,content,/plugin.php?id=xigua_hb&ac=hong_list&pubid={pubid},public+authenticated,OUT_OF_VISUAL_SCOPE,HIDDEN_ZERO_EXPOSURE,HIDDEN_OUT_OF_VISUAL_SCOPE,HIGH,xigua_hb,R05,"untouched isolated detail contains the source route but its control has zero size zero exposed area and no hit target"
CONTENT-COMMENTS,content,/plugin.php?id=xigua_hb&ac=mycomment,authenticated,OUT_OF_VISUAL_SCOPE,DIRECT_URL_ONLY_OWNER_CONFIRMED,INVALIDATED_SCOPE_DRIFT,HIGH,xigua_hb,R05,"owner confirms no frontend parent entry; direct-route R05 screenshots and UI changes are invalid"
CONTENT-FAVORITES,content,/plugin.php?id=xigua_hb&ac=fav,authenticated,OUT_OF_VISUAL_SCOPE,DIRECT_URL_ONLY,INVALIDATED_SCOPE_DRIFT,HIGH,xigua_hb,R05,"no visible production home or personal-center parent entry found; requires new click proof to re-enter"
CONTENT-PUBLISH,content,/plugin.php?id=xigua_hb&ac=pub&step={step}&catid={catid},authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,HIGH,xigua_hb,R05,"production home visible 发布 entry clicked to /plugin.php?id=xigua_hb&ac=pub&step=3&catid=31; direct-only category-selection page is excluded"
CONTENT-MY-PUBLICATIONS,content,/plugin.php?id=xigua_hb&ac=mypub,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,HIGH,xigua_hb,R05,"production personal-center visible 我的项目 entry clicked to /plugin.php?id=xigua_hb&ac=mypub; edit delete refresh remain fixture-only"
CONTENT-REVIEW,content,/plugin.php?id=xigua_hb&ac=manage&stat={stat}&display={display},authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,HIGH,xigua_hb,R05,"production personal-center visible 项目审核 entry clicked to /plugin.php?id=xigua_hb&ac=manage&stat=display&display=0; moderation writes remain fixture-only"
CONTENT-COVER,content,/plugin.php?id=xigua_hb&ac=mycover,authenticated,OUT_OF_VISUAL_SCOPE,DIRECT_URL_ONLY,INVALIDATED_SCOPE_DRIFT,MEDIUM,xigua_hb,R05,"no visible production personal-center parent entry found; background picker direct route is not UI scope"
SAFETY-REPORT,content,/plugin.php?id=xigua_hj,public,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,HIGH,xigua_hj,R05,"untouched isolated detail exposes a visible hittable 举报 control and the report form was actually opened without submission"
CARD-ADD,content,/plugin.php?id=tb_cus_card&modac=add&mptype={type},authenticated,OUT_OF_VISUAL_SCOPE,DIRECT_URL_ONLY_OWNER_CONFIRMED,INVALIDATED_SCOPE_DRIFT,HIGH,tb_cus_card,R05,"owner confirms no frontend entry; isolated detail also proves the source control has zero exposed area and no hit target"
CARD-UPLOAD,content,/plugin.php?id=tb_cus_card&modac=upload,authenticated,OUT_OF_VISUAL_SCOPE,DIRECT_URL_ONLY_OWNER_CONFIRMED,INVALIDATED_SCOPE_DRIFT,HIGH,tb_cus_card,R05,"owner confirms no frontend entry; isolated detail also proves the source control has zero exposed area and no hit target"
ACCOUNT-MY,account,/plugin.php?id=xigua_hb&ac=my,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,MEDIUM,xigua_hb,R06,"production home visible 我的 control was clicked; hub values remain excluded from evidence"
ACCOUNT-SETTINGS,account,/plugin.php?id=xigua_hb&ac=shezhi,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,MEDIUM,xigua_hb,R06,"production personal-center visible 设置 control was clicked"
ACCOUNT-OTHER-SETTINGS,account,/plugin.php?id=xigua_hb&ac=myset,authenticated,OUT_OF_VISUAL_SCOPE,DIRECT_URL_ONLY,NO_CLICK_EVIDENCE,MEDIUM,xigua_hb,R06,"legacy alternative settings route has no visible parent control on the current personal-center or settings click path"
ACCOUNT-PROFILE,account,/plugin.php?id=xigua_member:profile,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,HIGH,xigua_member,R06,"settings visible 资料设置 control was clicked; upload and save were not executed"
ACCOUNT-ADDRESS,account,/plugin.php?id=xigua_hb&ac=myaddr,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,HIGH,xigua_hb,R06,"settings visible 收货地址 control was clicked; mutations were not executed"
ACCOUNT-CONTACT,account,/plugin.php?id=tb_credit&modac=userext,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,HIGH,tb_credit,R06,"settings visible 联系方式 control was clicked; save was not executed"
ACCOUNT-CERTIFICATION,account,/plugin.php?id=xiaomy_certification,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,CRITICAL,xiaomy_certification,R06,"personal-center visible 实名认证 control was clicked; identity data was not submitted"
ACCOUNT-CANCEL,account,/plugin.php?id=deluser,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,CRITICAL,deluser,R06,"settings visible 注销账号 control reached the confirmation page; destructive action was not clicked"
COMMUNICATION-CHAT-LIST,communication,/plugin.php?id=xigua_lt,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,MEDIUM,xigua_lt,R06,"personal-center visible 消息 control was clicked; personal conversation content was not stored"
COMMUNICATION-CHAT-DETAIL,communication,/plugin.php?id=xigua_lt&ac=chat&touid={touid},authenticated,IN_SCOPE,CLICK_PROVEN,IMPLEMENTED_PENDING_BROWSER_VERIFY,CRITICAL,xigua_lt,R09,"synthetic isolated conversation row exposed 10992.8 square pixels and was actually clicked to chat detail; message and peer fixtures were removed; R09 visual overlay passes static protocol gates but remains unaccepted until Android-H5 browser screenshots pass"
FINANCE-WALLET,finance,/plugin.php?id=xigua_hb&ac=qianbao,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,HIGH,xigua_hb,R07,"personal-center visible wallet control and income/out tabs were clicked; balances were not stored"
FINANCE-WITHDRAW,finance,/plugin.php?id=xigua_hb&ac=mytx,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,CRITICAL,xigua_hb,R07,"wallet visible withdrawal-account control was clicked; no submission"
FINANCE-SIGN-WITHDRAW,finance,/plugin.php?id=tb_cus_xiguahh:tx,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,CRITICAL,tb_cus_xiguahh,R07,"personal-center second wallet visible control was clicked; no submission"
FINANCE-ORDERS,finance,/plugin.php?id=xigua_hb&ac=myorder,authenticated,SCOPE_REAUDIT_REQUIRED,LEGACY_DIRECT_URL_OBSERVED,CLICK_PARENT_UNPROVEN,HIGH,xigua_hb,R07,"no current visible parent edge found; direct URL observation does not grant UI scope"
FINANCE-PAYMENT,finance,/plugin.php?id=tb_pay&{transaction_parameters},authenticated,SCOPE_REAUDIT_REQUIRED,TRANSACTION_CONDITIONAL,CLICK_PARENT_UNPROVEN,CRITICAL,tb_pay,R07,"enter only when an in-scope real checkout visibly exposes the cashier transition in an approved sandbox"
MEMBERSHIP-VIP,commerce,/plugin.php?id=xigua_hb&ac=vip,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,CRITICAL,xigua_hb,R07,"personal-center visible member control was clicked; purchase was not clicked"
CONTENT-REFRESH-PACK,commerce,/plugin.php?id=xigua_hb&ac=refresh&do=sxtc,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,CRITICAL,xigua_hb,R07,"personal-center visible refresh-card control was clicked; purchase was not clicked"
PROMOTION-HEADLINE,commerce,/plugin.php?id=tb_toutiao,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,CRITICAL,tb_toutiao,R07,"personal-center visible headline control was clicked; purchase was not clicked"
PROMOTION-SUPER-HEADLINE,commerce,/plugin.php?id=tb_toutiao&modac=super_main,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,CRITICAL,tb_toutiao,R07,"personal-center visible super-headline control was clicked; purchase was not clicked"
GROWTH-INVITE,growth,/plugin.php?id=xigua_hh&ac=invite,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,HIGH,xigua_hh,R08,"personal-center visible invite control was clicked; external sharing was not automated"
GROWTH-TEAM,growth,/plugin.php?id=xigua_hh&ac=myfans,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,MEDIUM,xigua_hh,R08,"personal-center visible team control was clicked; relations were unchanged"
REWARD-SIGNIN,reward,/plugin.php?id=view&modac=sign,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,CRITICAL,view,R08,"personal-center bottom-navigation visible sign control was clicked; sign action was not clicked"
REWARD-MATCH-DIVIDEND,reward,/plugin.php?id=tb_cus_pipei,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,CRITICAL,tb_cus_pipei,R08,"personal-center bottom-navigation visible dividend control was clicked; claim action was not clicked"
PLUGIN-XIGUA-HS,residual,/plugin.php?id=xigua_hs&{route},authenticated,OUT_OF_VISUAL_SCOPE,DORMANT_ENABLED,MAPPED_OUT_OF_VISUAL_SCOPE,HIGH,xigua_hs,R09,"enabled source has no real visible parent edge; do not redesign unless a future production click proves reachability"
PLUGIN-XIGUA-SP,residual,/plugin.php?id=xigua_sp&{route},authenticated,OUT_OF_VISUAL_SCOPE,DORMANT_ENABLED,MAPPED_OUT_OF_VISUAL_SCOPE,HIGH,xigua_sp,R09,"enabled source has no real visible parent edge; do not redesign unless a future production click proves reachability"
PLUGIN-TB-JJD,residual,/plugin.php?id=tb_jjd&{route},authenticated,OUT_OF_VISUAL_SCOPE,SOURCE_ONLY,MAPPED_OUT_OF_VISUAL_SCOPE,HIGH,tb_jjd,R09,"source plugin found without a real visible parent edge"
PLUGIN-TB-ADV,residual,/plugin.php?id=tb_cus_adv&{route},authenticated,OUT_OF_VISUAL_SCOPE,SOURCE_ONLY,MAPPED_OUT_OF_VISUAL_SCOPE,HIGH,tb_cus_adv,R09,"source plugin found without a real visible parent edge"
PLUGIN-TAOJING,residual,/plugin.php?id=tb_cus_taojing&{route},authenticated,OUT_OF_VISUAL_SCOPE,SOURCE_ONLY,MAPPED_OUT_OF_VISUAL_SCOPE,HIGH,tb_cus_taojing,R09,"source plugin found without a real visible parent edge"
APP-DOWNLOAD-LANDING,download,/done/app.html,authenticated,IN_SCOPE,CLICK_PROVEN,CLICK_PROVEN,MEDIUM,done/app.html,R08,"personal-center visible APP/加速器 control was clicked; internal landing UI is in scope while downstream binary destination remains external"
EXTERNAL-CUSTOMER-SERVICE,external,{external_customer_service_url},authenticated,OUT_OF_SCOPE,RUNTIME_LINK_FOUND,EXTERNAL,MEDIUM,external,NONE,"preserve destination"
NATIVE-APP-SPLASH,android,app://splash,native,IN_SCOPE,NATIVE_SERVER_VERIFIED,VERIFIED,LOW,android-app,R01,"推广宝 light branding; server-signed APK and historical emulator/device startup evidence"
NATIVE-WEBVIEW-SHELL,android,app://webview,native,IN_SCOPE,NATIVE_SERVER_VERIFIED,VERIFIED,MEDIUM,android-app,R01,"status bar safe area back refresh SSL and no native progress line verified"
NATIVE-FILE-CHOOSER,android,app://file-chooser,native,IN_SCOPE,NATIVE_AUTOMATED_VERIFIED,ASYNC_DEVICE_PENDING,HIGH,android-app,R01,"Photo Picker/SAF plus content URI instrumentation pass; real H5 upload is cumulative device gate"
NATIVE-EXTERNAL-PAY,android,app://external-payment,native,IN_SCOPE,NATIVE_POLICY_VERIFIED,ASYNC_DEVICE_PENDING,CRITICAL,android-app,R01,"exact H5 gateway and Alipay policy tests pass; real checkout launch/return is cumulative device gate"
NATIVE-DOWNLOAD,android,app://download,native,IN_SCOPE,NATIVE_SERVER_BUILT,ASYNC_DEVICE_PENDING,HIGH,android-app,R01,"trusted DownloadManager path implemented; device notification/file result pending asynchronously"
NATIVE-OFFLINE,android,app://offline,native,IN_SCOPE,NATIVE_SERVER_BUILT,ASYNC_DEVICE_PENDING,LOW,android-app,R01,"light error/retry source and server build pass; device network toggle pending asynchronously"
