edge_id,parent_page_id,parent_url,auth_state,viewport,scroll_state,control_text,control_href,visibility_proof,clicked,child_page_id,child_url,evidence,scope_effect,notes
EDGE-ROOT-HOME,ROOT,https://tg.suewammes.com/,public,390x844,top,H5 mobile entry,/plugin.php?id=xigua_hb&mobile=2,ROOT_ENTRY,true,AUTH-HOME,/plugin.php?id=xigua_hb&mobile=2,evidence/R05/reachability-correction/production-home-390x844.png,CLICK_PROVEN,"production title remains legacy; UI scope already owned by R04"
EDGE-ROOT-LOGIN,ROOT,https://tg.suewammes.com/plugin.php?id=xigua_hb&mobile=2,public,390x844,top,H5 unauthenticated entry,/member.php?mod=logging&action=login&needlogin=1&referer={sanitized}&mobile=2,ROOT_ENTRY,true,PUBLIC-LOGIN,/member.php?mod=logging&action=login&needlogin=1&referer={sanitized}&mobile=2,evidence/R09/scope-closeout/R09_PUBLIC_ENTRY_CLICK_AUDIT.json,CLICK_PROVEN,"public mobile root resolves to the visible login entry under Android H5 UA"
EDGE-LOGIN-REGISTER,PUBLIC-LOGIN,/member.php?mod=logging&action=login&needlogin=1&referer={sanitized}&mobile=2,logged-out,390x844,login-actions,注册账号,/member.php?mod=register,CLIP_AREA_HIT,true,PUBLIC-REGISTER,/member.php?mod=register,evidence/R09/scope-closeout/R09_PUBLIC_ENTRY_CLICK_AUDIT.json,CLICK_PROVEN,"visible registration control clicked"
EDGE-LOGIN-SMS,PUBLIC-LOGIN,/member.php?mod=logging&action=login&needlogin=1&referer={sanitized}&mobile=2,logged-out,390x844,login-actions,验证码登录,/plugin.php?id=tb_cus_mobilereg%3Amobilelogin,CLIP_AREA_HIT,true,PUBLIC-SMS-LOGIN,/plugin.php?id=tb_cus_mobilereg%3Amobilelogin,evidence/R09/scope-closeout/R09_PUBLIC_ENTRY_CLICK_AUDIT.json,CLICK_PROVEN,"visible SMS-login control clicked; no SMS sent"
EDGE-LOGIN-SERVICE,PUBLIC-LOGIN,/member.php?mod=logging&action=login&needlogin=1&referer={sanitized}&mobile=2,logged-out,390x844,legal-links,《服务协议》,/m/xy.html,CLIP_AREA_HIT,true,LEGAL-SERVICE-AGREEMENT,/m/xy.html,evidence/R09/scope-closeout/R09_PUBLIC_ENTRY_CLICK_AUDIT.json,CLICK_PROVEN,"visible legal link clicked; legal copy frozen"
EDGE-LOGIN-PRIVACY,PUBLIC-LOGIN,/member.php?mod=logging&action=login&needlogin=1&referer={sanitized}&mobile=2,logged-out,390x844,legal-links,《隐私政策》,/m/yszc.html,CLIP_AREA_HIT,true,LEGAL-PRIVACY,/m/yszc.html,evidence/R09/scope-closeout/R09_PUBLIC_ENTRY_CLICK_AUDIT.json,CLICK_PROVEN,"visible legal link clicked; legal copy frozen"
EDGE-HOME-SEARCH,AUTH-HOME,/plugin.php?id=xigua_hb&mobile=2,authenticated-session,390x844,top-search,搜索,/plugin.php?keyword={keyword}&id=xigua_hb&ac=cat&st=&idu={sanitized},CLIP_AREA_HIT_WINDOW_OPEN,true,DISCOVERY-SEARCH,/plugin.php?keyword={keyword}&id=xigua_hb&ac=cat&st=&idu={sanitized},evidence/R09/scope-closeout/R09_SEARCH_ENTRY_CLICK_AUDIT.json,CLICK_PROVEN,"user-gesture Page.windowOpen captured the real target; child reloaded under Android H5 UA and rendered 20 results"
EDGE-DETAIL-ANTI-FRAUD,CONTENT-DETAIL,/plugin.php?id=xigua_hb&ac=view&pubid={sanitized},authenticated-isolated-fixture,390x844,detail-fixed-action,防骗提醒,/m/fpsm.html,CLIP_AREA_HIT,true,LEGAL-ANTI-FRAUD,/m/fpsm.html,evidence/R09/scope-closeout/R09_ANTI_FRAUD_CLICK_AUDIT.json,CLICK_PROVEN,"visible fixed action clicked; detail GET writes and nine observed view increments fully restored"
EDGE-HOME-MY,AUTH-HOME,/plugin.php?id=xigua_hb&mobile=2,authenticated-session,390x844,bottom-nav,我的,/plugin.php?id=xigua_hb&ac=my&idu={sanitized},SCREENSHOT_CLIP_AREA_HIT,true,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my&idu={sanitized},evidence/R05/reachability-correction/home-to-my.json,CLICK_PROVEN,"actual visible click completed on 2026-07-27"
EDGE-HOME-DETAIL,AUTH-HOME,/plugin.php?id=xigua_hb&mobile=2,authenticated-isolated-fixture,390x844,content-feed,content title,/plugin.php?id=xigua_hb&ac=view&pubid={sanitized},SCREENSHOT_CLIP_AREA_HIT,true,CONTENT-DETAIL,/plugin.php?id=xigua_hb&ac=view&pubid={sanitized},evidence/R05/reachability-correction/isolated-detail-click-audit.json,CLICK_PROVEN,"production parent visibility plus R04-derived isolated click; GET side effects fully rolled back"
EDGE-HOME-PUBLISH,AUTH-HOME,/plugin.php?id=xigua_hb&mobile=2,authenticated-session,390x844,content-feed,发布,/plugin.php?id=xigua_hb&ac=pub&step=3&catid=31&idu={sanitized},SCREENSHOT_CLIP_AREA_HIT,true,CONTENT-PUBLISH,/plugin.php?id=xigua_hb&ac=pub&step=3&catid=31&idu={sanitized},evidence/R05/reachability-correction/r05-clicked-candidates.json,CLICK_PROVEN,"real entry bypasses the direct-only category-selection page"
